sic,sic_desc,patents,frac_patents,recall_process,precision_process,f1_score_process,balanced_accuracy,matthews_corrcoef,recall_product,precision_product,frac_obs_process_sic,obs_sic,obs_for_prediction,feature_list,classifier,sic_codes_for_prediction,select_from_model_index
3674,"Semiconductor,Related Device",183266,13.94%,,,,,,,,,,,,,,
2834,Pharmaceutical Preparations,90348,6.87%,,,,,,,,,,,,,,
9997,Industrial Conglomerates,66130,5.03%,,,,,,,,,,,,,,
3577,"Computer Peripheral Eq, Nec",61980,4.72%,,,,,,,,,,,,,,
3711,Motor Vehicles and Car Bodies,44233,3.37%,,,,,,,,,,,,,,
3663,"Radio, TV Broadcast, Comm Eq",41218,3.14%,,,,,,,,,,,,,,
3845,Electromedical Apparatus,37083,2.82%,,,,,,,,,,,,,,
2911,Petroleum Refining,34162,2.60%,,,,,,,,,,,,,,
3570,Computer and Office Equipment,33984,2.59%,,,,,,,,,,,,,,
2860,Industrial Organic Chemicals,27273,2.07%,,,,,,,,,,,,,,
2820,"Plastc,Synth Matls;Ex Glass",25441,1.94%,,,,,,,,,,,,,,
3714,"Motor Vehicle Part,Accessory",24071,1.83%,,,,,,,,,,,,,,
3559,"Special Industry Machy, Nec",19966,1.52%,,,,,,,,,,,,,,
3576,Computer Communications Equip,19598,1.49%,,,,,,,,,,,,,,
3572,Computer Storage Devices,19506,1.48%,,,,,,,,,,,,,,
2670,"Convrt Papr,Paprbrd,Ex Boxes",18689,1.42%,,,,,,,,,,,,,,
3721,Aircraft,17805,1.35%,,,,,,,,,,,,,,
3812,"Srch,Det,Nav,Guid,Aero Sys",17558,1.34%,,,,,,,,,,,,,,
3826,Lab Analytical Instruments,17409,1.32%,,,,,,,,,,,,,,
2810,Indl Inorganic Chemicals,15945,1.21%,,,,,,,,,,,,,,
3724,"Aircraft Engine, Engine Parts",15828,1.20%,,,,,,,,,,,,,,
3841,"Surgical,Med Instr,Apparatus",15774,1.20%,,,,,,,,,,,,,,
2836,"Biological Pds, Ex Diagnstics",15017,1.14%,,,,,,,,,,,,,,
3571,Electronic Computers,14841,1.13%,,,,,,,,,,,,,,
3640,"Electric Lighting, Wiring Eq",13222,1.01%,,,,,,,,,,,,,,
1311,Crude Petroleum and Natural Gs,12798,0.97%,,,,,,,,,,,,,,
3620,Electrical Indl Apparatus,12783,0.97%,,,,,,,,,,,,,,
2840,"Soap,Detergent,Toilet Preps",12242,0.93%,,,,,,,,,,,,,,
3679,"Electronic Components, Nec",10930,0.83%,,,,,,,,,,,,,,
3531,Construction Machinery and Eq,10260,0.78%,,,,,,,,,,,,,,
3823,Industrial Measurement Instr,9454,0.72%,,,,,,,,,,,,,,
2890,Misc Chemical Products,8907,0.68%,,,,,,,,,,,,,,
3842,"Ortho,Prosth,Surg Appl,Suply",8899,0.68%,,,,,,,,,,,,,,
4833,Television Broadcast Station,8676,0.66%,,,,,,,,,,,,,,
3760,Guided Missiles and Space Vehc,8631,0.66%,,,,,,,,,,,,,,
3585,"Air-Cond, Heating, Refrig Eq",8154,0.62%,,,,,,,,,,,,,,
2621,Paper Mills,8035,0.61%,,,,,,,,,,,,,,
3678,Electronic Connectors,7677,0.58%,,,,,,,,,,,,,,
