sic,patents,sic_desc,request_extra_sic,extra_sic
3674,"159,830","Semiconductor,Related Device",0,3674
2834,"71,076",Pharmaceutical Preparations,0,"2851, 2820, 2821, 2890, 2891, 2860, 2800, 2833, 2834, 2835, 2836, 2870, 2840, 2810, 2842, 2844"
9997,"61,031",Industrial Conglomerates,0,9997
3577,"56,677","Computer Peripheral Eq, Nec",0,"3672, 3570, 3571, 3572, 3670, 3576, 3577, 3674, 3677, 3678, 3679"
3711,"41,252",Motor Vehicles and Car Bodies,0,"3713, 3714, 3715, 3716, 3720, 3721, 3724, 3728, 3711"
3663,"37,316","Radio, TV Broadcast, Comm Eq",0,"3651, 3690, 3661, 3663, 3600, 3669, 3674, 3679"
3570,"33,554",Computer and Office Equipment,0,"3672, 3570, 3571, 3572, 3670, 3576, 3577, 3674, 3677, 3678, 3679"
3845,"27,622",Electromedical Apparatus,0,"3841, 3842, 3843, 3844, 3845, 2833, 2834, 2835, 2836"
2911,"25,466",Petroleum Refining,0,"2820, 2821, 2800, 2810, 2911"
2860,"23,213",Industrial Organic Chemicals,0,"2851, 2820, 2821, 2890, 2891, 2860, 2800, 2833, 2834, 2835, 2836, 2870, 2840, 2810, 2842, 2844"
2820,"21,267","Plastc,Synth Matls;Ex Glass",0,"2851, 2820, 2821, 2890, 2891, 2860, 2800, 2833, 2834, 2835, 2836, 2870, 2840, 2810, 2842, 2844"
3576,"18,905",Computer Communications Equip,0,"3672, 3570, 3571, 3572, 3670, 3576, 3577, 3674, 3677, 3678, 3679"
3572,"18,814",Computer Storage Devices,0,"3672, 3570, 3571, 3572, 3670, 3576, 3577, 3674, 3677, 3678, 3679"
3714,"18,486","Motor Vehicle Part,Accessory",0,"3713, 3714, 3715, 3716, 3720, 3721, 3724, 3728, 3711"
2670,"17,110","Convrt Papr,Paprbrd,Ex Boxes",0,"2631, 2600, 2670, 2673, 2611, 2840, 2650, 2842, 2844, 2621"
3721,"16,291",Aircraft,0,"3713, 3714, 3715, 3716, 3720, 3721, 3724, 3728, 3711"
3826,"15,692",Lab Analytical Instruments,0,"3841, 3842, 3843, 3844, 3845, 2833, 3826, 2834, 2836, 2835"
3559,"15,426","Special Industry Machy, Nec",,
3812,"14,731","Srch,Det,Nav,Guid,Aero Sys",0,"3812, 3621, 3620, 3821, 3822, 3823, 3824, 3825, 3826, 3827, 3829, 3861, 3670, 3672, 3674, 3677, 3678, 3679"
3724,"14,675","Aircraft Engine, Engine Parts",0,"3713, 3714, 3715, 3716, 3720, 3721, 3724, 3728, 3711"
3571,"14,085",Electronic Computers,0,"3672, 3570, 3571, 3572, 3670, 3576, 3577, 3674, 3677, 3678, 3679"
2810,"13,781",Indl Inorganic Chemicals,0,"2851, 2820, 2821, 2890, 2891, 2860, 2800, 2833, 2834, 2835, 2836, 2870, 2840, 2810, 2842, 2844"
2836,"12,265","Biological Pds, Ex Diagnstics",0,"2851, 2820, 2821, 2890, 2891, 2860, 2800, 2833, 2834, 2835, 2836, 2870, 2840, 2810, 2842, 2844"
3841,"11,775","Surgical,Med Instr,Apparatus",0,"3841, 3842, 3843, 3844, 3845, 2833, 2834, 2835, 2836"
2840,"11,333","Soap,Detergent,Toilet Preps",0,"2840, 2842, 2844"
3640,"9,060","Electric Lighting, Wiring Eq",0,"3600, 3612, 3613, 3620, 3621, 3630, 3634, 3640, 3651, 3652, 3661, 3663, 3669, 3670, 3672, 3674, 3677, 3678, 3679, 3690, 3695"
3679,"8,623","Electronic Components, Nec",0,"3600, 3612, 3613, 3620, 3621, 3630, 3634, 3640, 3651, 3652, 3661, 3663, 3669, 3670, 3672, 3674, 3677, 3678, 3679, 3690, 3695"
3823,"8,117",Industrial Measurement Instr,0,"3812, 3621, 3620, 3821, 3822, 3823, 3824, 3825, 3826, 3827, 3829, 3861, 3670, 3672, 3674, 3677, 3678, 3679"
3760,"8,113",Guided Missiles and Space Vehc,0,"3720, 3721, 4841, 3724, 3760, 3728"
3531,"7,966",Construction Machinery and Eq,0,"3713, 3714, 3715, 3524, 3523, 3716, 3530, 3531, 3532, 3533, 3537, 3711"
1311,"7,645",Crude Petroleum and Natural Gs,0,"1311, 1381, 1382, 1389, 2911"
2621,"6,669",Paper Mills,0,"2631, 2600, 2670, 2673, 2611, 2840, 2650, 2842, 2844, 2621"
3678,"6,639",Electronic Connectors,0,"3600, 3612, 3613, 3620, 3621, 3630, 3634, 3640, 3651, 3652, 3661, 3663, 3669, 3670, 3672, 3674, 3677, 3678, 3679, 3690, 3695"
2890,"6,521",Misc Chemical Products,0,"2890, 2891"
4833,"6,424",Television Broadcast Station,0,"4833, 3620, 3621, 9997, 3600, 3510, 3640"
3620,"6,319",Electrical Indl Apparatus,0,"3600, 3612, 3613, 3620, 3621, 3630, 3634, 3640, 3651, 3652, 3661, 3663, 3669, 3670, 3672, 3674, 3677, 3678, 3679, 3690, 3695"
2835,"6,233","In Vitro,In Vivo Diagnostics",0,"2851, 2820, 2821, 2890, 2891, 2860, 2800, 2833, 2834, 2835, 2836, 2870, 2840, 2810, 2842, 2844"
3842,"6,186","Ortho,Prosth,Surg Appl,Suply",0,"3841, 3842, 3843, 3844, 3845, 2833, 2834, 2835, 2836"
3560,"5,922",General Industrial Mach and Eq,0,"3585, 9997, 3620, 3621, 3510, 3523, 3524, 3530, 3531, 3532, 3533, 3537, 3540, 3541, 3550, 3555, 3559, 3560, 3561, 3562, 3564, 3567, 3569, 3580"
3523,"5,917",Farm Machinery and Equipment,0,"3713, 3714, 3715, 3524, 3523, 3716, 3530, 3531, 3532, 3533, 3537, 3711"
1381,"5,733",Drilling Oil and Gas Wells,0,"1311, 1381, 1382, 1389, 2911"
3728,"5,544","Aircraft Parts, Aux Eq, Nec",0,"3713, 3714, 3715, 3716, 3720, 3721, 3724, 3728, 3711"
2821,"5,518","Plastics,Resins,Elastomers",0,"2851, 2820, 2821, 2890, 2891, 2860, 2800, 2833, 2834, 2835, 2836, 2870, 2840, 2810, 2842, 2844"
3585,"5,424","Air-Cond, Heating, Refrig Eq",0,"3713, 3714, 3715, 3716, 3585, 3720, 3721, 3724, 9997, 3728, 3730, 3743, 3620, 3621, 3751, 3760, 3510, 3523, 3524, 3530, 3531, 3532, 3533, 3790, 3537, 3711"
3561,"5,355",Pumps and Pumping Equipment,0,"3585, 3620, 3621, 3560, 3561, 3562, 3564, 3567, 3569, 3580"
3661,"5,335",Tele and Telegraph Apparatus,0,"3651, 3690, 3661, 3600, 3669, 3674, 3679"
3540,"5,240",Metalworking Machinery and Eq,0,"3585, 9997, 3620, 3621, 3510, 3523, 3524, 3530, 3531, 3532, 3533, 3537, 3540, 3541, 3550, 3555, 3559, 3560, 3561, 3562, 3564, 3567, 3569, 3580"
3510,"4,928",Engines and Turbines,0,"3713, 3714, 3715, 3524, 3523, 3716, 3620, 3621, 3530, 3531, 3532, 3533, 9997, 3537, 3510, 3711"
7370,"4,909","Cmp Programming, Data Process",,
2851,"4,885","Paints, Varnishes, Lacquers",0,"2851, 2820, 2821, 2890, 2891, 2860, 2800, 2833, 2834, 2835, 2836, 2870, 2840, 2810, 2842, 2844"
3825,"4,692",Elec Meas and Test Instruments,0,"3812, 3621, 3620, 3821, 3822, 3823, 3824, 3825, 3826, 3827, 3829, 3861, 3670, 3672, 3674, 3677, 3678, 3679"
3011,"4,033",Tires and Inner Tubes,0,"3011, 2820, 2821, 2800, 2810"
100,"3,905",Agriculture Production-Crops,0,100
3630,"3,886",Household Appliances,0,"3651, 3690, 3661, 3630, 3600, 3669, 3674, 3679"
3822,"3,665",Automatic Regulatng Controls,0,"3812, 3621, 3620, 3821, 3822, 3823, 3824, 3825, 3826, 3827, 3829, 3861, 3670, 3672, 3674, 3677, 3678, 3679"
3579,"3,543","Office Machines, Nec",0,"3672, 3570, 3571, 3572, 3674, 3670, 3575, 3576, 3577, 3578, 3579, 3677, 3678, 3679"
2844,"3,361","Perfume,Cosmetic,Toilet Prep",0,"2851, 2820, 2821, 2890, 2891, 2860, 2800, 2833, 2834, 2835, 2836, 2870, 2840, 2810, 2842, 2844"
3990,"3,301",Misc Manufacturng Industries,0,"7990, 3634, 3990, 3630"
3420,"2,960","Cutlery, Handtools,Gen Hrdwr",0,"3330, 3460, 3334, 3211, 3341, 3470, 3220, 3221, 3350, 3480, 3357, 3231, 3360, 3490, 3241, 3250, 3260, 3390, 3320, 3270, 3272, 3411, 3412, 3290, 3420, 3430, 3433, 3310, 2670, 3312, 3440, 3442, 3443, 3444, 3317, 3448, 3451, 3452"
3600,"2,802","Electr, Oth Elec Eq, Ex Cmp",0,"3600, 3612, 3613, 3620, 3621, 3630, 3634, 3640, 3651, 3652, 3661, 3663, 3669, 3670, 3672, 3674, 3677, 3678, 3679, 3690, 3695"
2631,"2,686",Paperboard Mills,0,"2631, 2600, 2670, 2673, 2611, 2840, 2650, 2842, 2844, 2621"
2800,"2,618",Chemicals and Allied Products,0,"2851, 2820, 2821, 2890, 2891, 2860, 2800, 2833, 2834, 2835, 2836, 2870, 2840, 2810, 2842, 2844"
3569,"2,617","General Indl Mach and Eq, Nec",0,"3585, 9997, 3620, 3621, 3510, 3523, 3524, 3530, 3531, 3532, 3533, 3537, 3540, 3541, 3550, 3555, 3559, 3560, 3561, 3562, 3564, 3567, 3569, 3580"
2111,"2,582",Cigarettes,0,2111
3651,"2,498",Household Audio and Video Eq,0,"3651, 3690, 3661, 3600, 3669, 3674, 3679"
3690,"2,486","Misc Elec Machy,Eq,Supplies",0,"3600, 3612, 3613, 3620, 3621, 3630, 3634, 3640, 3651, 3652, 3661, 3663, 3669, 3670, 3672, 3674, 3677, 3678, 3679, 3690, 3695"
